origin_time,horizon,threshold,window_type,mainshock_mag,mainshock_time,days_since_mainshock,n_train_events,forecast_probability_etas,forecast_probability_poisson,observed_binary,n_observed_in_horizon
1978-08-22T10:17:18.900000+00:00,7d,5.0,post_mainshock,5.025,1978-07-23T10:17:18.900000+00:00,30,77,nan,0.0,0,0
1978-10-11T18:14:43.100000+00:00,7d,5.0,post_mainshock,5.025,1978-10-10T18:14:43.100000+00:00,1,80,nan,0.0,0,0
1978-10-17T18:14:43.100000+00:00,7d,5.0,post_mainshock,5.025,1978-10-10T18:14:43.100000+00:00,7,80,nan,0.0,1,1
1978-11-09T18:14:43.100000+00:00,7d,5.0,post_mainshock,5.025,1978-10-10T18:14:43.100000+00:00,30,81,nan,0.0,0,0
1978-10-21T17:21:46.200000+00:00,7d,5.0,post_mainshock,5.11,1978-10-20T17:21:46.200000+00:00,1,81,nan,0.0,0,0
1978-10-27T17:21:46.200000+00:00,7d,5.0,post_mainshock,5.11,1978-10-20T17:21:46.200000+00:00,7,81,nan,0.0,0,0
1978-11-19T17:21:46.200000+00:00,7d,5.0,post_mainshock,5.11,1978-10-20T17:21:46.200000+00:00,30,82,nan,0.0,0,0
1978-12-30T08:53:21.700000+00:00,7d,5.0,post_mainshock,5.11,1978-12-29T08:53:21.700000+00:00,1,84,nan,0.0,1,1
1979-01-05T08:53:21.700000+00:00,7d,5.0,post_mainshock,5.11,1978-12-29T08:53:21.700000+00:00,7,86,nan,0.0,0,0
1979-01-28T08:53:21.700000+00:00,7d,5.0,post_mainshock,5.11,1978-12-29T08:53:21.700000+00:00,30,89,nan,0.0,0,0
1979-01-02T18:51:10.800000+00:00,7d,5.0,post_mainshock,5.535,1979-01-01T18:51:10.800000+00:00,1,86,nan,0.0,0,0
1979-01-08T18:51:10.800000+00:00,7d,5.0,post_mainshock,5.535,1979-01-01T18:51:10.800000+00:00,7,86,nan,0.0,0,0
1979-01-31T18:51:10.800000+00:00,7d,5.0,post_mainshock,5.535,1979-01-01T18:51:10.800000+00:00,30,89,nan,0.0,0,0
1979-01-29T06:06:35.700000+00:00,7d,5.0,post_mainshock,5.195,1979-01-28T06:06:35.700000+00:00,1,89,nan,0.0,0,0
1979-02-04T06:06:35.700000+00:00,7d,5.0,post_mainshock,5.195,1979-01-28T06:06:35.700000+00:00,7,89,nan,0.0,0,0
1979-02-27T06:06:35.700000+00:00,7d,5.0,post_mainshock,5.195,1979-01-28T06:06:35.700000+00:00,30,91,nan,0.0,1,1
1979-02-19T06:16:10.700000+00:00,7d,5.0,post_mainshock,5.365,1979-02-18T06:16:10.700000+00:00,1,90,nan,0.0,0,0
1979-02-25T06:16:10.700000+00:00,7d,5.0,post_mainshock,5.365,1979-02-18T06:16:10.700000+00:00,7,90,nan,0.0,1,1
1979-03-20T06:16:10.700000+00:00,7d,5.0,post_mainshock,5.365,1979-02-18T06:16:10.700000+00:00,30,93,nan,0.0,0,0
1979-03-04T12:25:41.900000+00:00,7d,5.0,post_mainshock,5.025,1979-03-03T12:25:41.900000+00:00,1,92,nan,0.0,0,0
1979-03-10T12:25:41.900000+00:00,7d,5.0,post_mainshock,5.025,1979-03-03T12:25:41.900000+00:00,7,93,nan,0.0,0,0
1979-04-02T12:25:41.900000+00:00,7d,5.0,post_mainshock,5.025,1979-03-03T12:25:41.900000+00:00,30,95,nan,0.0,0,0
1979-04-12T16:08:12.900000+00:00,7d,5.0,post_mainshock,5.11,1979-04-11T16:08:12.900000+00:00,1,96,nan,0.0,0,0
1979-04-18T16:08:12.900000+00:00,7d,5.0,post_mainshock,5.11,1979-04-11T16:08:12.900000+00:00,7,97,nan,0.0,0,0
1979-05-11T16:08:12.900000+00:00,7d,5.0,post_mainshock,5.11,1979-04-11T16:08:12.900000+00:00,30,97,nan,0.0,1,1
1979-05-13T06:10:09.200000+00:00,7d,5.0,post_mainshock,5.025,1979-05-12T06:10:09.200000+00:00,1,98,nan,0.0,0,0
1979-05-19T06:10:09.200000+00:00,7d,5.0,post_mainshock,5.025,1979-05-12T06:10:09.200000+00:00,7,98,nan,0.0,0,0
1979-06-11T06:10:09.200000+00:00,7d,5.0,post_mainshock,5.025,1979-05-12T06:10:09.200000+00:00,30,101,nan,0.0,0,0
1979-05-30T00:39:52.100000+00:00,7d,5.0,post_mainshock,5.535,1979-05-29T00:39:52.100000+00:00,1,99,nan,0.0,1,1
1979-06-05T00:39:52.100000+00:00,7d,5.0,post_mainshock,5.535,1979-05-29T00:39:52.100000+00:00,7,101,nan,0.0,0,0
1979-06-28T00:39:52.100000+00:00,7d,5.0,post_mainshock,5.535,1979-05-29T00:39:52.100000+00:00,30,101,nan,0.0,0,0
1979-06-01T19:40:28.700000+00:00,7d,5.0,post_mainshock,5.025,1979-05-31T19:40:28.700000+00:00,1,101,nan,0.0,0,0
